node_id,title,description,image_url,address
acd-arc_05,Cats shelters from wood,Innovative architectural concepts and design explorations.,/projects/ACD/Concept05/Concept05_01.jpg,"Poznan, Poland"

acd-urd_01,Participatory Urban Design Berlin,Urban design strategies for sustainable and resilient cities.,/projects/ACD_URD/InsurgentDesign/Marzahn_OCover.jpg,"Berlin, Germany"
acd-urd_02,Participatory Urban Design Aswan workshop,Conceptual urban design projects exploring new typologies and public spaces.,/projects/ACD/UrbanDesign02/UrbanDesign02_01.jpg,"Aswan, Egypt"
acd-urd_03,Participatory Urban Design Rio workshop,Experimental urban design proposals addressing contemporary challenges.,/projects/ACD/UrbanDesign03/UrbanDesign03_01.jpg,"Rio de Janeiro, Brazil"

art-ink_01,Ornamental Ink Canvas 01,Traditional ink drawings exploring themes of emptiness and space.,,
art-ink_02,Ornamental Ink Canvas 02,Detailed ink studies focusing on architectural forms and landscapes.,,
art-ink_03,Ornamental Ink Canvas 03,Expressive ink compositions blending abstraction and representation.,,

art-dgt_01,Ornamented Jellyfish,Digital visualizations of complex networks and relationships.,/projects/Art/Digital_01/ART_JellyFish_01.png,
art-dgt_02,Black Heart,Digital art exploring themes of darkness and emotion.,/projects/Art/Blackheart/BLCKHRT_OCover.jpg,
cmp-sfd_01,Workflow 01,placeholder details,/projects/CMP/DataParser/DataParser_01.png,
cmp-sfd_02,Workflow 02,placeholder details,/projects/CMP/SoftwareModule02/SoftwareModule02_01.png,
cmp-sfd_03,Workflow 03,placeholder details,/projects/CMP/SoftwareModule03/SoftwareModule03_01.png,

cmp-dsn_01,Hinged Park,Experimental computational design and parametric modeling based on mathematical open surface equations.,/projects/CMP/Hingedpark/HingedPark_OCover.png,
cmp-dsn_02,Generative Script 02,placeholder details,/projects/CMP/GenerativeScript02/GenerativeScript02_01.png,
cmp-dsn_03,Generative Script 03,placeholder details,/projects/CMP/GenerativeScript03/GenerativeScript03_01.png,
